ID	num	EV1	EV2	EV3	EV4	EV5	EV6	EV7	EV8	EV9	EV10	EV11	EV12	EV13	EV14	EV15	EV16	EV17	EV18
39	43	0.004907	0.12074	-0.082846	-0.13006	-0.029051	-0.01059	0.202406	0.163863	0.154736	0.014917	-0.16184	0.089754	-0.008743	-0.065019	-0.098683	-0.207211	-0.120482	-0.117081
40	61	-0.118521	-0.103756	0.069111	-0.011687	0.015217	0.236517	0.186948	-0.148581	0.026452	-0.067425	-0.066531	-0.107221	0.061295	-0.209675	-0.046196	-0.042659	-0.046471	0.230449
41	28	-0.071724	-0.02294	0.119569	-0.046396	0.006456	0.157874	0.010479	-0.085805	0.100576	-0.126504	0.054893	-0.069163	0.132465	-0.209949	-0.137846	-0.133314	-0.115839	0.0511
42	2	0.078242	-0.043389	0.069834	-0.03874	0.219056	-0.119226	0.079745	-0.038169	-0.018335	-0.255795	-0.034888	0.165812	-0.087108	0.12516	-0.177053	0.124647	0.08491	0.178964
43	56	0.049636	-0.028399	0.044454	-0.021766	0.114147	-0.074494	0.051986	-0.022593	-0.003228	-0.153419	0.001945	0.08357	-0.13764	0.047804	-0.198323	0.109575	0.052095	0.172962
44	18	0.034533	0.231587	-0.205774	-0.089825	-0.017367	0.060416	0.230739	0.114286	0.229532	-0.002313	0.037868	0.087769	0.041123	0.047935	-0.092855	0.04035	-0.022345	-0.155275
45	68	0.15027	0.138867	-0.230481	0.012829	0.025587	0.252306	-0.03705	0.043391	0.116568	-0.023685	0.165645	-0.045337	-0.051577	0.177634	0.019349	0.090376	0.115385	0.055326
46	13	-0.202528	-0.15856	0.048292	0.106444	0.038066	0.229345	0.18001	-0.008655	0.037033	0.008824	-0.078474	0.002181	-0.070214	-0.116528	0.107844	0.047289	0.311334	-0.032275
47	49	-0.035949	-0.102754	-0.125475	-0.143403	-0.052569	-0.141164	-0.176964	-0.130182	0.151133	0.031677	-0.014025	0.032422	-0.015427	-0.071425	-0.02628	-0.112465	0.141017	0.085805
48	19	-0.189427	-0.000177	0.156014	0.175255	0.050739	0.114974	-0.045872	-0.007882	0.204648	0.089569	-0.045952	0.19599	-0.117778	0.050284	0.099673	-0.060268	0.1835	-0.103221
49	62	-0.178312	-0.227276	-0.139654	0.044561	-0.003216	0.003951	0.049783	0.169935	-0.128247	0.056024	0.131687	0.100175	-0.021772	-0.013341	0.064695	0.08324	0.182937	-0.165447
50	16	-0.194239	-0.099486	-0.002081	0.274217	0.059304	-0.005005	-0.033389	0.252557	0.076609	0.007345	-0.102851	-0.048166	-0.114185	0.076639	0.039531	0.000304	0.146668	-0.175285
51	35	-0.029665	0.211526	-0.140026	0.164579	0.005575	-0.091048	0.032469	-0.226466	-0.149165	-0.107069	0.13035	-0.114356	0.100508	-0.159684	-0.014423	0.009969	0.077668	-0.113047
52	25	0.08908	-0.032261	0.043523	0.04964	-0.169668	0.011686	-0.029095	0.004717	-0.056267	-0.036651	-0.193241	0.145194	0.284635	0.048291	-0.087237	0.120916	0.08204	-0.026747
53	51	-0.076004	0.321826	-0.094644	0.05353	-0.016534	-0.127044	0.129706	-0.120657	-0.084861	0.091819	0.069765	0.105193	0.043565	-0.175614	0.061687	0.170282	-0.009742	-0.026458
54	40	-0.104398	-0.209089	-0.21263	-0.157897	-0.065349	-0.144242	-0.124513	-0.066858	-0.029181	0.117518	0.170803	0.174204	0.021307	0.025047	-0.088397	-0.195867	0.079967	-0.039576
55	36	-0.107604	-0.184917	-0.140963	-0.09	-0.03425	0.011808	0.104704	-0.089264	-0.201528	0.142071	0.072044	0.054935	-0.02723	0.221007	-0.051313	-0.00924	-0.142748	-0.192556
56	10	-0.164057	0.195565	0.14948	0.105583	0.015169	-0.054221	-0.094622	-0.095252	0.024948	0.219114	0.036293	0.261108	-0.087006	0.116109	0.112857	0.117046	-0.092068	0.123712
57	32	-0.041378	-0.097716	-0.110049	-0.08955	-0.036441	-0.107662	-0.119284	-0.003638	0.028769	0.019968	0.138746	0.135894	0.065186	-0.108739	-0.059256	-0.19449	0.163225	0.208248
58	20	-0.114501	0.207117	-0.032646	0.268366	0.031768	-0.182521	-0.020436	-0.19098	-0.098484	0.095448	-0.019345	-0.082303	0.066295	0.006623	-0.138335	-0.095308	-0.007315	0.12955
59	27	0.083633	0.004336	-0.049244	0.03591	-0.057653	0.129203	-0.151418	-0.007526	-0.141005	-0.141506	-0.160315	0.135146	-0.12545	-0.014701	0.049487	-0.150555	-0.143111	0.065273
60	53	0.064644	0.029306	-0.083809	0.031969	-0.027713	0.129172	-0.133669	-0.032667	-0.125402	-0.22004	-0.061463	0.076413	-0.184017	0.01233	0.169432	-0.189806	-0.118053	0.018612
61	72	-0.088883	-0.150859	-0.13957	-0.02485	-0.023121	-0.105171	-0.096886	0.186605	-0.055186	-0.024653	0.24271	0.159107	0.107352	-0.192564	-0.000899	-0.021622	0.07421	0.191315
62	45	-0.036733	-0.061662	-0.053117	0.015215	-0.001972	-0.054401	-0.053065	0.163725	-0.022266	-0.076687	0.119963	0.038538	0.087365	-0.160943	0.027523	0.088648	-0.090015	0.189942
63	73	0.193796	-0.028933	0.004307	0.088206	-0.159337	0.147173	-0.161808	0.016695	-0.155621	0.03884	-0.238269	0.18737	0.065266	-0.073586	-0.167711	0.058445	-0.009678	-0.029779
64	52	-0.116123	-0.132017	-0.090574	0.124453	0.018754	-0.078547	-0.074522	0.362982	-0.026471	-0.113601	0.108043	-0.027301	0.055519	-0.154376	0.051831	0.197114	-0.182882	0.021518
